Walking survey data
390         !Total number of data points
xloc        yloc        dose        landuse
    1900.584       917.642     -0.464870       1
    1900.798       954.655     -0.253900       1
    1963.410       362.513     -0.399918       1
    1963.731       417.988     -0.369847       1
    1963.944       455.001     -0.420798       1
    1964.265       510.475     -0.570703       1
    1964.585       565.950     -0.112463       1
    1964.799       602.941     -0.138466       1
    1965.332       695.361     -0.674574       1
    1965.973       806.311     -0.341143       1
    1966.721       935.789     -0.496560       1
    1988.838       954.146     -0.335358       1
    2030.298       510.094     -0.693223       1
    2031.044       639.506     -0.679854       1
    2009.140       658.161     -0.706708       1
    2009.460       713.636     -0.628811       1
    2031.684       750.455     -0.512325       1
    2010.207       843.070     -0.379774       1
    2010.741       935.535     -0.553741       1
    2010.847       954.019     -0.237276       1
    2074.320       509.841     -0.804136       1
    2075.066       639.252     -0.237549       1
    2053.375       694.853     -0.715109       1
    2053.588       731.866     -0.649327       1
    2053.801       768.857     -0.436050       1
    2054.441       879.806     -0.290227       1
    2054.654       916.752     -0.353667       1
    2054.867       953.765     -0.285304       1
    2118.342       509.587     -0.537860       1
    2119.087       638.998     -0.276544       1
    2119.194       657.527     -0.594436       1
    2119.513       713.002     -0.602136       1
    2119.832       768.476     -0.353385       1
    2120.897       953.385     -0.264815       1
    2161.620       379.900     -0.342595       1
    2161.939       435.375     -0.460654       1
    2162.045       453.859     -0.528344       1
    2162.364       509.334     -0.477114       1
    2163.959       786.707     -0.352685       1
    2164.916       953.132     -0.332014       1
    2205.643       379.647     -0.597059       1
    2205.855       416.593     -0.465739       1
    2206.068       453.606     -0.248356       1
    2206.386       509.081     -0.417937       1
    2207.980       786.454     -0.361642       1
    2208.936       952.878     -0.452597       1
    2252.001       786.201     -0.525982       1
    2274.329       841.550     -0.428113       1
    2274.435       860.012     -0.418881       1
    2274.753       915.487     -0.613107       1
    2252.956       952.626     -0.469065       1
    2428.512      4705.551     -0.640165       1
    2493.877      4594.223     -0.835647       1
    2493.982      4612.707     -0.671876       1
    2472.300      4668.308     -0.549298       1
    2450.512      4705.425     -0.664315       1
    2450.829      4760.900     -0.576017       1
    2473.146      4816.249     -0.592595       1
    2495.357      4853.070     -0.533344       1
    2515.348      4501.632     -0.562531       1
    2515.665      4557.107     -0.704165       1
    2537.983      4612.456     -0.567031       1
    2517.039      4797.469     -0.751619       1
    2517.145      4815.998     -0.752027       1
    2539.884      4945.306     -0.543634       1
    2559.349      4501.380     -0.529649       1
    2559.983      4612.330     -0.475459       1
    2560.299      4667.805     -0.511449       1
    2560.511      4704.796     -0.754316       1
    2560.827      4760.271     -0.703444       1
    2561.883      4945.181     -0.702964       1
    2603.350      4501.129     -0.518999       1
    2603.666      4556.604     -0.735619       1
    2603.983      4612.079     -0.702724       1
    2604.299      4667.554     -0.698466       1
    2626.510      4704.419     -0.517619       1
    2604.827      4760.020     -0.585653       1
    2627.143      4815.370     -0.586303       1
    2605.354      4852.441     -0.615598       1
    2605.670      4907.917     -0.645979       1
    2605.987      4963.392     -0.696042       1
    2669.351      4500.753     -0.482132       1
    2671.879      4944.553     -0.732828       1
    2671.984      4963.015     -0.764751       1
    2713.352      4500.502     -0.651810       1
    2713.667      4555.977     -0.443352       1
    2757.352      4500.252     -0.738576       1
    2757.773      4574.189     -0.532804       1
    2779.983      4611.077     -0.503109       1
    2758.299      4666.677     -0.478940       1
    2758.509      4703.668     -0.514801       1
    2758.824      4759.143     -0.489315       1
    2759.140      4814.618     -0.428134       1
    2759.350      4851.564     -0.389787       1
    2781.665      4906.914     -0.411220       1
    2823.354      4499.877     -0.768913       1
    2801.353      4500.002     -0.650253       1
    2845.669      4555.227     -0.665234       1
    2845.984      4610.702     -0.496387       1
    2846.298      4666.177     -0.581155       1
    2803.769      4925.318     -0.435210       1
    2825.978      4962.139     -0.492278       1
    2867.354      4499.627     -0.557999       1
    2867.459      4518.089     -0.670603       1
    2867.984      4610.577     -0.587225       1
    2890.298      4665.928     -0.660626       1
    2890.508      4702.918     -0.671220       1
    2868.823      4758.518     -0.566389       1
    2869.138      4813.993     -0.617084       1
    2869.347      4850.940     -0.546460       1
    2891.661      4906.290     -0.501724       1
    2869.977      4961.890     -0.495152       1
    2911.355      4499.378     -0.649752       1
    2911.460      4517.840     -0.601262       1
    2912.508      4702.794     -0.767205       1
    2913.660      4906.165     -0.621355       1
    2935.974      4961.516     -0.604344       1
    2955.356      4499.129     -0.590031       1
    2955.460      4517.591     -0.501749       1
    2999.670      4554.355     -0.570395       1
    2956.612      4721.029     -0.705892       1
    3021.357      4498.755     -0.568851       1
    3043.462      4517.093     -0.408935       1
    3021.880      4591.221     -0.657577       1
    3021.984      4609.705     -0.543517       1
    3022.298      4665.180     -0.628500       1
    3000.507      4702.295     -0.644855       1
    3045.656      4905.418     -0.710896       1
    3001.971      4961.142     -0.664611       1
    3087.358      4498.382     -0.555955       1
    3089.341      4849.695     -0.576754       1
    3067.447      4868.348     -0.566132       1
    3067.655      4905.294     -0.564867       1
    3067.969      4960.769     -0.632672       1
    3109.358      4498.258     -0.672109       1
    3132.923      4775.509     -0.594877       1
    3111.132      4812.624     -0.582570       1
    3111.445      4868.099     -0.443215       1
    3111.654      4905.045     -0.408249       1
    3153.359      4498.010     -0.692104       1
    3153.463      4516.472     -0.722967       1
    3175.672      4553.361     -0.499598       1
    3197.985      4608.712     -0.587355       1
    3198.297      4664.187     -0.627812       1
    3176.506      4701.302     -0.579675       1
    3154.819      4756.901     -0.681536       1
    3155.236      4830.860     -0.503494       1
    3155.444      4867.851     -0.458421       1
    3219.360      4497.638     -0.804100       1
    3219.568      4534.629     -0.458421       1
    3219.672      4553.113     -0.452852       1
    3241.985      4608.464     -0.548281       1
    3285.862       669.379     -0.240391       1
    3263.361      4497.391     -0.862702       1
    3285.465      4515.729     -0.476168       1
    3285.673      4552.742     -0.606266       1
    3307.769       650.771     -0.198646       1
    3308.081       706.246     -0.488982       1
    3330.402       761.597     -0.461939       1
    3307.465      4515.605     -0.579633       1
    3351.894       669.008     -0.247405       1
    3396.123       705.752     -0.251812       1
    3352.620       798.420     -0.373878       1
    3351.466      4515.358     -0.690922       1
    3439.419       576.028     -0.581711       1
    3439.626       613.041     -0.482804       1
    3418.133       705.629     -0.261128       1
    3418.650       798.050     -0.515850       1
    3417.571      4533.517     -0.762593       1
    3461.430       575.905     -0.616318       1
    3461.637       612.917     -0.445742       1
    3462.257       723.867     -0.297732       1
    3462.671       797.803     -0.456749       1
    3461.571      4533.270     -0.777198       1
    3483.675      4551.631     -0.665546       1
    3505.348       557.197     -0.506579       1
    3505.658       612.671     -0.574125       1
    3505.968       668.146     -0.431843       1
    3506.382       742.083     -0.289771       1
    3506.485       760.611     -0.401615       1
    3505.572      4533.024     -0.823909       1
    3505.675      4551.508     -0.603945       1
    3593.289       538.221     -0.595166       1
    3571.381       556.828     -0.497806       1
    3571.794       630.765     -0.655835       1
    3572.000       667.777     -0.406820       1
    3550.196       704.891     -0.497015       1
    3550.712       797.311     -0.569439       1
    3571.676      4551.139     -0.740519       1
    3637.208       519.447     -0.842946       1
    3615.506       575.044     -0.611128       1
    3615.712       612.057     -0.518707       1
    3616.228       704.522     -0.538357       1
    3616.743       796.943     -0.688624       1
    3639.268       889.308     -0.688246       1
    3639.371       907.770     -0.818156       1
    3615.676      4550.893     -0.719563       1
    3680.509       389.791     -0.752027       1
    3680.612       408.253     -0.553091       1
    3680.921       463.727     -0.325514       1
    3659.116       500.863     -0.701578       1
    3681.436       556.215     -0.703335       1
    3660.249       704.277     -0.661379       1
    3660.763       796.698     -0.702599       1
    3660.866       815.226     -0.691393       1
    3661.072       852.173     -0.822263       1
    3702.521       389.668     -0.614394       1
    3702.829       445.143     -0.681937       1
    3702.932       463.605     -0.593513       1
    3703.447       556.092     -0.629524       1
    3703.755       611.567     -0.507947       1
    3704.064       667.041     -0.421399       1
    3704.270       704.032     -0.567620       1
    3704.784       796.453     -0.444906       1
