Airborne survey data
Parameters for adjustment from linear analysis
    1.179000     0.172300    !std and mean
    0.004775                 !variance of measurement errors
    1.251400     0.194300    !mean and std
    0.000853                 !variance of measurement errors
    1.018400     0.150500    !mean and std
    0.005929                 !variance of measurement errors
379         !Total number of data points
xloc        yloc        dose        landuse
    3694.983      1598.164     -0.431798       1
    3968.806      1365.530     -0.508638       1
    4243.915      1364.012     -0.508638       1
    3970.084      1596.637     -0.455932       1
    4245.186      1595.120     -0.481486       1
    3421.176      1830.808     -0.376751       2
    3696.270      1829.272     -0.420216       2
    3422.471      2062.027     -0.376751       2
    3697.557      2060.491     -0.420216       2
    3971.363      1827.745     -0.455932       1
    4246.457      1826.228     -0.494850       1
    3972.643      2058.964     -0.455932       1
    4247.728      2057.446     -0.494850       1
    4519.024      1362.504     -0.481486       1
    4794.133      1361.005     -0.431798       1
    4520.287      1593.611     -0.494850       1
    4795.388      1592.112     -0.494850       1
    4521.550      1824.719     -0.522879       1
    4796.644      1823.220     -0.552842       1
    4522.814      2055.938     -0.537602       1
    4797.900      2054.439     -0.585027       1
     122.824      2312.285     -0.309804       1
     397.903      2310.638     -0.327902       1
     124.211      2543.393     -0.301030       2
     399.282      2541.747     -0.318759       2
     672.981      2309.001     -0.337242       1
     948.060      2307.373     -0.327902       1
     674.353      2540.109     -0.327902       1
     949.424      2538.481     -0.327902       1
     125.599      2774.613     -0.301030       2
     400.662      2772.966     -0.318759       2
     126.986      3005.721     -0.301030       1
     402.042      3004.075     -0.327902       1
     675.725      2771.329     -0.327902       1
     950.788      2769.701     -0.327902       1
     677.097      3002.438     -0.356547       1
     952.152      3000.809     -0.318759       1
    1223.138      2305.754     -0.318759       2
    1498.217      2304.145     -0.309804       2
    1224.494      2536.863     -0.309804       2
    1499.565      2535.253     -0.301030       2
    1773.295      2302.544     -0.301030       2
    2048.374      2300.953     -0.301030       2
    1774.636      2533.652     -0.292430       2
    2049.707      2532.061     -0.292430       2
    1225.851      2768.082     -0.309804       2
    1500.914      2766.472     -0.301030       2
    1227.208      2999.191     -0.301030       2
    1502.263      2997.581     -0.275724       2
    1775.977      2764.872     -0.292430       2
    2051.040      2763.281     -0.292430       2
    1777.318      2995.980     -0.267606       2
    2052.374      2994.389     -0.275724       2
    2323.452      2299.371     -0.318759       2
    2598.530      2297.798     -0.327902       2
    2324.777      2530.479     -0.318759       2
    2599.848      2528.906     -0.327902       2
    2873.609      2296.235     -0.346787       2
    3148.687      2294.680     -0.366532       2
    2874.918      2527.343     -0.346787       2
    3149.989      2525.788     -0.366532       2
    2326.103      2761.698     -0.318759       2
    2601.166      2760.126     -0.337242       2
    2327.429      2992.807     -0.309804       2
    2602.484      2991.234     -0.327902       2
    2876.229      2758.562     -0.356547       2
    3151.292      2757.007     -0.387216       2
    2877.539      2989.670     -0.366532       2
    3152.594      2988.116     -0.397940       2
    3423.765      2293.135     -0.387216       2
    3698.843      2291.599     -0.420216       2
    3425.059      2524.243     -0.387216       2
    3700.130      2522.707     -0.420216       2
    3973.921      2290.072     -0.455932       1
    4249.000      2288.554     -0.481486       2
    3975.200      2521.180     -0.455932       1
    4250.271      2519.662     -0.481486       2
    3426.355      2755.462     -0.397940       2
    3701.417      2753.926     -0.420216       2
    3427.649      2986.570     -0.408935       2
    3702.704      2985.034     -0.397940       2
    3976.480      2752.399     -0.431798       2
    4251.543      2750.882     -0.468521       2
    3977.759      2983.507     -0.397940       2
    4524.078      2287.046     -0.508638       1
    4799.156      2285.547     -0.537602       1
    4525.341      2518.154     -0.508638       1
    4800.411      2516.655     -0.537602       1
    4527.869      2980.481     -0.481486       2
     128.374      3236.830     -0.301030       1
     403.421      3235.184     -0.327902       1
     129.762      3468.050     -0.309804       2
     404.802      3466.403     -0.327902       1
     678.469      3233.546     -0.346787       1
     953.517      3231.918     -0.327902       1
     679.842      3464.766     -0.346787       1
     954.881      3463.138     -0.346787       1
     131.149      3699.159     -0.309804       2
     406.181      3697.512     -0.337242       2
     132.537      3930.268     -0.301030       2
     407.561      3928.621     -0.337242       2
     681.214      3695.875     -0.376751       1
     956.246      3694.247     -0.397940       1
     682.586      3926.984     -0.420216       1
     957.610      3925.355     -0.455932       1
    1228.564      3230.299     -0.301030       1
    1503.612      3228.689     -0.275724       2
    1229.921      3461.519     -0.337242       2
    1504.961      3459.909     -0.327902       2
    1778.659      3227.089     -0.267606       2
    2053.707      3225.498     -0.275724       2
    1780.001      3458.308     -0.327902       2
    2055.041      3456.717     -0.327902       2
    1231.278      3692.628     -0.397940       1
    1506.310      3691.018     -0.387216       2
    1232.634      3923.736     -0.420216       1
    1507.659      3922.127     -0.408935       1
    1781.342      3689.417     -0.387216       2
    2056.374      3687.826     -0.387216       2
    1782.683      3920.526     -0.408935       2
    2057.707      3918.935     -0.397940       2
    2328.754      3223.915     -0.309804       2
    2603.802      3222.342     -0.327902       2
    2330.080      3455.135     -0.356547       2
    2605.120      3453.562     -0.376751       2
    2878.849      3220.779     -0.376751       2
    3153.896      3219.224     -0.397940       2
    2880.160      3451.998     -0.408935       2
    3155.199      3450.444     -0.443697       2
    2331.406      3686.244     -0.420216       2
    2606.438      3684.671     -0.443697       2
    2332.732      3917.352     -0.443697       2
    2607.756      3915.779     -0.468521       2
    2881.470      3683.107     -0.481486       2
    3156.502      3681.552     -0.508638       2
    2882.780      3914.215     -0.508638       2
    3157.804      3912.661     -0.537602       2
    3428.944      3217.679     -0.408935       2
    3703.991      3216.143     -0.420216       2
    3430.239      3448.898     -0.455932       2
    3705.278      3447.362     -0.468521       2
    3979.038      3214.616     -0.431798       2
    4254.085      3213.098     -0.455932       2
    3980.318      3445.835     -0.494850       2
    4255.357      3444.317     -0.508638       2
    3431.534      3680.007     -0.522879       2
    3706.565      3678.471     -0.537602       2
    3432.828      3911.115     -0.568636       2
    3707.852      3909.579     -0.602060       2
    3981.597      3676.944     -0.552842       2
    4256.629      3675.426     -0.568636       2
    3982.876      3908.052     -0.585027       2
    4257.900      3906.534     -0.585027       2
    4529.133      3211.589     -0.494850       2
    4531.661      3673.917     -0.585027       2
    4532.924      3905.026     -0.602060       2
     133.925      4161.488     -0.318759       2
     408.942      4159.841     -0.356547       2
     135.313      4392.597     -0.356547       3
     410.322      4390.950     -0.387216       3
     683.958      4158.204     -0.397940       1
     958.975      4156.575     -0.431798       1
     685.331      4389.313     -0.420216       1
     960.340      4387.684     -0.468521       1
     136.700      4623.706     -0.356547       3
     411.702      4622.059     -0.397940       3
     138.089      4854.926     -0.356547       3
     413.082      4853.280     -0.387216       3
     686.703      4620.422     -0.455932       1
     961.704      4618.794     -0.522879       1
     688.076      4851.642     -0.468521       1
     963.069      4850.014     -0.537602       1
    1233.992      4154.956     -0.431798       1
    1509.008      4153.346     -0.431798       1
    1235.348      4386.065     -0.494850       1
    1510.357      4384.455     -0.508638       1
    1784.025      4151.746     -0.443697       1
    2059.042      4150.154     -0.455932       1
    1785.366      4382.855     -0.537602       1
    2060.375      4381.263     -0.537602       1
    1236.705      4617.174     -0.585027       1
    1511.706      4615.565     -0.602060       1
    1238.063      4848.395     -0.602060       1
    1513.056      4846.785     -0.638272       1
    1786.708      4613.964     -0.619789       1
    2061.709      4612.372     -0.585027       1
    1788.050      4845.184     -0.638272       1
    2063.043      4843.592     -0.585027       1
    2334.058      4148.572     -0.468521       2
    2609.075      4146.999     -0.481486       2
    2335.384      4379.681     -0.537602       1
    2610.393      4378.108     -0.522879       2
    2884.091      4145.435     -0.508638       2
    3159.107      4143.881     -0.522879       2
    2885.401      4376.544     -0.537602       2
    3160.410      4374.989     -0.537602       2
    2336.710      4610.790     -0.568636       1
    2611.711      4609.217     -0.537602       3
    2338.036      4842.010     -0.568636       2
    2613.030      4840.437     -0.552842       2
    2886.712      4607.653     -0.537602       2
    3161.713      4606.098     -0.537602       3
    2888.023      4838.873     -0.537602       2
    3163.016      4837.318     -0.537602       2
    3434.124      4142.335     -0.552842       2
    3709.140      4140.799     -0.552842       2
    3435.419      4373.444     -0.537602       2
    3710.427      4371.908     -0.552842       2
    3984.156      4139.272     -0.568636       2
    4259.173      4137.754     -0.568636       2
    3436.714      4604.553     -0.552842       3
    3438.009      4835.773     -0.552842       3
    4534.189      4136.245     -0.585027       2
