Car survey data
Parameters for adjustment from linear analysis
    1.106700    -0.086800    !std and mean
    0.025408                 !variance of measurement errors
    1.125800    -0.080400    !std and mean
    0.008172                 !variance of measurement errors
    1.113400    -0.057100    !std and mean
    0.008649                 !variance of measurement errors
381         !Total number of data points
xloc        yloc        dose        landuse
    1478.080      1689.402     -0.677781       1
    1478.619      1781.868     -0.508638       1
    1486.714      3168.740     -0.552842       1
    1581.660       579.266     -0.744727       1
    1584.351      1041.526     -0.568636       1
    1584.889      1134.013     -0.552842       1
    1585.428      1226.478     -0.537602       1
    1585.966      1318.899     -0.481486       1
    1587.043      1503.852     -0.568636       1
    1587.581      1596.273     -0.522879       1
    1588.119      1688.761     -0.455932       1
    1606.968      4924.770     -0.886057       1
    1691.714       578.626     -0.602060       1
    1692.251       671.091     -0.537602       1
    1692.788       763.512     -0.795880       1
    1693.325       855.999     -0.698970       1
    1693.862       948.465     -0.657577       1
    1694.399      1040.886     -0.568636       1
    1697.622      1595.633     -0.376751       1
    1698.159      1688.121     -0.602060       1
    1716.964      4924.130     -0.853872       1
    1802.840       762.873     -0.744727       1
    1803.376       855.361     -0.677781       1
    1803.912       947.826     -0.420216       1
    1807.662      1594.995     -0.468521       1
    1808.198      1687.482     -0.494850       2
    1826.960      4923.491     -0.795880       2
    1908.616        22.603     -0.327902       1
    1911.288       484.863     -0.677781       1
    1911.823       577.350     -0.677781       1
    1912.358       669.815     -0.619789       1
    1913.961       947.189     -0.537602       2
    1918.238      1686.845     -0.468521       2
    1925.724      2981.229     -0.568636       1
    1936.956      4922.854     -0.958607       1
    2019.211       114.433     -0.408935       1
    2019.744       206.854     -0.585027       2
    2020.278       299.341     -0.657577       2
    2020.811       391.806     -0.657577       2
    2021.344       484.227     -0.744727       2
    2021.877       576.715     -0.886057       2
    2024.011       946.554     -0.657577       2
    2028.278      1686.210     -0.408935       2
    2028.811      1778.675     -0.508638       2
    2035.213      2888.172     -0.537602       2
    2035.746      2980.594     -0.522879       2
    2046.953      4922.218     -0.958607       2
    2128.740        21.334     -0.408935       2
    2129.272       113.799     -0.431798       2
    2131.400       483.593     -0.769551       2
    2134.060       945.920     -0.522879       2
    2138.849      1778.041     -0.468521       2
    2144.704      2795.073     -0.638272       2
    2145.236      2887.538     -0.585027       1
    2156.417      4829.163     -0.886057       1
    2156.949      4921.584     -0.920819       1
    2241.455       482.961     -0.638272       1
    2244.110       945.287     -0.602060       1
    2249.418      1869.830     -0.602060       1
    2254.729      2794.440     -0.522879       1
    2266.414      4828.530     -0.886057       1
    2351.511       482.330     -0.657577       1
    2354.159       944.656     -0.657577       1
    2359.456      1869.198     -0.468521       1
    2359.985      1961.686     -0.522879       1
    2364.223      2701.321     -0.508638       1
    2375.882      4735.433     -0.886057       2
    2461.567       481.700     -0.568636       1
    2464.209       944.026     -0.420216       1
    2470.021      1961.056     -0.585027       1
    2470.550      2053.522     -0.602060       2
    2474.249      2700.691     -0.552842       1
    2483.237      4272.518     -0.823909       1
    2483.765      4364.940     -0.795880       1
    2484.294      4457.428     -0.769551       1
    2484.823      4549.893     -0.920819       1
    2485.351      4642.315     -0.853872       1
    2485.880      4734.803     -0.823909       1
    2571.622       481.072     -0.769551       2
    2574.258       943.398     -0.431798       1
    2581.111      2145.315     -0.552842       1
    2581.639      2237.802     -0.552842       2
    2584.275      2700.063     -0.602060       1
    2592.714      4179.424     -0.619789       1
    2593.242      4271.890     -0.537602       1
    2681.152       388.024     -0.657577       1
    2681.678       480.445     -0.619789       1
    2684.307       942.771     -0.443697       1
    2691.671      2237.175     -0.795880       1
    2692.197      2329.641     -0.677781       1
    2694.301      2699.436     -0.657577       1
    2702.720      4178.797     -0.619789       2
    2791.209       387.399     -0.744727       2
    2791.733       479.820     -0.568636       2
    2794.357       942.146     -0.468521       2
    2802.753      2421.437     -0.823909       2
    2803.278      2513.924     -0.795880       2
    2803.802      2606.390     -0.698970       2
    2804.327      2698.811     -0.920819       2
    2812.726      4178.172     -0.657577       2
    2901.789       479.196     -0.602060       2
    2902.313       571.684     -0.537602       2
    2902.836       664.149     -0.508638       2
    2903.359       756.570     -0.494850       2
    2904.406       941.522     -0.552842       2
    2913.830      2605.766     -0.677781       2
    2914.353      2698.187     -0.886057       2
    2914.877      2790.675     -0.657577       2
    2915.401      2883.140     -0.698970       2
    2922.209      4085.060     -0.677781       2
    2922.732      4177.548     -0.602060       2
    3013.933       848.435     -0.619789       2
    3014.456       940.900     -0.721246       2
    3014.978      1033.321     -0.638272       2
    3015.500      1125.808     -0.602060       2
    3023.334      2512.678     -0.698970       2
    3025.424      2882.518     -0.677781       2
    3025.946      2974.939     -0.721246       2
    3026.469      3067.427     -0.677781       2
    3032.216      4084.438     -0.744727       2
    3124.505       940.279     -0.638272       1
    3125.547      1125.188     -0.638272       1
    3126.068      1217.653     -0.619789       1
    3126.589      1310.074     -0.638272       1
    3127.110      1402.561     -0.602060       1
    3127.631      1495.027     -0.638272       1
    3128.152      1587.448     -0.721246       1
    3128.673      1679.935     -0.657577       1
    3129.194      1772.400     -0.638272       1
    3129.715      1864.821     -0.721246       1
    3133.363      2512.057     -0.568636       1
    3137.011      3159.271     -0.568636       1
    3137.532      3251.693     -0.522879       1
    3138.053      3344.180     -0.721246       1
    3142.223      4083.817     -0.920819       1
    3234.555       939.660     -0.677781       2
    3239.752      1864.202     -0.744727       2
    3240.272      1956.690     -0.721246       2
    3240.792      2049.155     -0.721246       2
    3241.312      2141.576     -0.657577       2
    3241.832      2234.064     -0.602060       2
    3242.351      2326.529     -0.677781       1
    3242.871      2418.950     -0.677781       2
    3248.071      3343.561     -0.522879       2
    3248.591      3436.027     -0.638272       2
    3251.711      3990.776     -0.958607       2
    3359.125      3527.830     -0.853872       2
    3359.644      3620.318     -0.886057       2
    3362.238      4082.579     -0.920819       2
    3470.175      3712.167     -0.920819       2
    3470.693      3804.588     -0.795880       2
    3471.728      3989.541     -0.853872       2
    3564.703       937.811     -0.721246       2
    3580.704      3803.973     -0.958607       2
    3581.220      3896.461     -0.920819       2
    3581.737      3988.926     -0.795880       2
    3674.752       937.197     -0.744727       2
    3691.745      3988.313     -0.823909       2
    3692.260      4080.734     -0.769551       2
    3784.801       936.585     -0.677781       2
    3801.240      3895.235     -0.795880       2
    3801.754      3987.701     -0.853872       2
    3802.267      4080.122     -0.619789       2
    3802.781      4172.610     -0.823909       2
    3894.851       935.975     -0.958607       2
    3911.250      3894.624     -0.698970       2
    3912.787      4171.999     -0.823909       2
    3913.300      4264.465     -0.744727       2
    4004.900       935.366     -0.886057       1
    4021.259      3894.015     -0.853872       1
    4114.950       934.758     -0.853872       1
    4131.269      3893.407     -0.958607       1
    4224.999       934.152     -0.958607       1
    4240.770      3800.313     -0.920819       1
    4241.279      3892.801     -1.060481       1
    4329.975         8.963     -0.468521       1
    4330.482       101.428     -0.443697       1
    4335.048       933.547     -0.823909       1
    4350.781      3799.708     -0.886057       1
    4351.289      3892.196     -0.795880       1
    4440.543       100.825     -0.823909       1
    4441.049       193.245     -0.886057       1
    4441.555       285.733     -0.602060       1
    4442.061       378.198     -0.292430       1
    4442.567       470.618     -0.443697       1
    4443.073       563.106     -0.443697       1
    4443.579       655.571     -0.537602       1
    4445.098       932.944     -0.721246       2
    4460.792      3799.105     -0.958607       2
    4553.632       654.969     -0.431798       2
    4554.137       747.390     -0.376751       2
    4554.642       839.877     -0.376751       2
    4555.147       932.342     -0.677781       2
    4555.652      1024.763     -0.420216       2
    4570.803      3798.503     -0.920819       2
    4665.196       931.742     -0.769551       2
    4666.204      1116.650     -0.468521       2
    4666.707      1209.116     -0.585027       2
    4667.211      1301.537     -0.602060       2
    4667.715      1394.024     -0.677781       3
    4680.310      3705.482     -0.823909       2
    4680.814      3797.903     -0.886057       3
    4775.246       931.144     -0.537602       2
    4777.758      1393.425     -0.638272       2
    4778.260      1485.890     -0.677781       2
    4778.763      1578.311     -0.677781       2
    4790.322      3704.883     -1.013228       2
    4885.295       930.546     -0.481486       2
    4888.803      1577.714     -0.744727       2
    4889.305      1670.202     -0.698970       1
    4889.806      1762.667     -0.657577       1
    4900.335      3704.286     -0.638272       1
    4995.344       929.950     -0.522879       1
